"","City","ProtestCount"
"980","Flossmoor, IL",1
"981","Flower Mound, TX",11
"982","Floyd, VA",1
"983","Flushing, MI",1
"984","Folsom, CA",1
"985","Folsom, PA",2
"986","Fond du Lac, WI",1
"987","Fontana, CA",3
"988","Ford Mill, SC",1
"989","Ford Wayne, IN",1
"990","Forest City, IA",1
"991","Forest Grove, OR",5
"992","Forest Lake, MN",1
"993","Fort Bragg, CA",2
"994","Fort Bragg, NC",1
"995","Fort Collins, CO",6
"996","Fort Dodge, IA",1
"997","Fort Edward, NY",2
"998","Fort Kent, ME",1
"999","Fort Lauderdale, FL",7
"1000","Fort Mill, SC",1
"1001","Fort Mitchell, KY",1
"1002","Fort Monroe, VA",1
"1003","Fort Myers, FL",11
"1004","Fort Payne, AL",1
"1005","Fort Pierce, FL",1
"1006","Fort Plain, NY",2
"1007","Fort Smith, AR",10
"1008","Fort Walton Beach, FL",3
"1009","Fort Washington, CA",1
