"","City","VictimsCount"
"642","Kingsland, GA",2
"643","Kingstree, SC",1
"644","Kingwood, TX",1
"645","Kinston, NC",1
"646","Kiowa, OK",1
"647","Kissimmee, FL",1
"648","Knoxville, PA",1
"649","Knoxville, TN",7
"650","Kyle, TX",1
"651","La Marque, TX",1
"652","La Quinta, CA",1
"653","La Vergne, TN",1
"654","Lacey, WA",1
"655","Ladera Heights, CA",1
"656","Lafayette, LA",5
"657","Lake Charles, LA",5
"658","Lake City, FL",1
"659","Lake Cormorant, MS",1
"660","Lake Wales, FL",1
"661","Lake Worth Beach, FL",1
"662","Lakeland, FL",3
"663","Lakeshire, MO",1
"664","Lakeview, OR",1
"665","Lakeview, TX",1
"666","Lakewood, WA",3
"667","Lancaster, CA",2
"668","Lancaster, PA",2
"669","Lancaster, TX",2
"670","Landover, MD",2
"671","Landrum, SC",1
"672","Lanham, MD",1
"673","Lansing, MI",2
"674","LaPlace, LA",2
"675","Laramie, WY",1
"676","Largo, FL",2
"677","Larimer, PA",1
"678","Las Cruces, NM",1
"679","Las Vegas, NV",24
"680","Lauderdale Lakes, FL",1
"681","Lauderhill, FL",4
"682","Laurel, MD",2
"683","Laurel, MS",1
"684","Laurens, SC",1
"685","Lawrence, IN",4
"686","Lawrenceville, GA",3
"687","Lawton, OK",5
"688","Leavenworth, KS",1
"689","Leesburg, GA",1
"690","Lemon Grove, CA",1
"691","Lenexa, KS",1
"692","Lenoir, NC",1
"693","Lewisville, TX",1
"694","Lexington, IL",1
"695","Lexington, KY",1
"696","Lexington, MS",1
"697","Lexington, SC",1
"698","Liberty City, FL",1
"699","Lima, OH",1
"700","Lincoln, NE",1
"701","Linwood, PA",1
"702","Lithia Springs, GA",1
"703","Lithonia, GA",3
"704","Little Rock, AR",15
"705","Livonia, MI",1
"706","Lizella, GA",1
"707","Locust Grove, GA",1
"708","Locust, NC",1
"709","Loganville, GA",1
"710","Loma, CO",1
"711","Lombard, IL",1
"712","Long Beach, CA",8
"713","Long Beach, MS",1
"714","Longs, SC",1
"715","Longview, TX",2
"716","Lorain, OH",2
"717","Lorena, TX",1
"718","Lorenzo, TX",1
"719","Los Angeles , CA",48
"720","Los Lunas, NM",2
"721","Louisville , GA",1
"722","Louisville , KY",15
"723","Lubbock, TX",1
"724","Ludowici, GA",1
"725","Lufkin, TX",2
"726","Lumberton, NC",1
"727","Luray, VA",1
"728","Luxora, AR",1
"729","Lynchburg, VA",1
"730","Lyndhurst, NJ",1
"731","Lynn, MA",2
"732","Lynwood, CA",2
"733","Mableton, GA",4
"734","Macomb, IL",2
"735","Macon, GA",2
"736","Madison, AL",1
"737","Madison, TN",1
"738","Madison, WI",3
"739","Madras, GA",1
"740","Magna, UT",1
"741","Magnolia, AR",1
"742","Magnolia, DE",1
"743","Makaha, HI",1
"744","Malvern, AR",1
"745","Mamou, LA",1
"746","Manchester Township, NJ",1
"747","Mansfield, OH",2
"748","Mansura, LA",1
"749","Manteo, NC",1
"750","Maplewood, MN",1
"751","Margate, FL",1
"752","Marietta, GA",5
"753","Marion, AR",1
"754","Marion, IN",3
"755","Marion, SC",1
"756","Markham, IL",1
"757","Marksville, LA",1
"758","Marlow Heights, MD",1
"759","Marrero, LA",2
"760","Marshall, MN",1
"761","Marshall, TX",1
"762","Martinez, CA",1
"763","Martinsburg, WV",1
"764","Martinsville, VA",1
"765","Marysville, CA",2
"766","Mascotte, FL",1
"767","Maumelle, AR",1
"768","Maury, NC",1
"769","Maysville, KY",1
"770","Maywood, IL",2
"771","McCalla, AL",1
"772","McComb, MS",1
"773","Mcdonough, GA",1
"774","McKinney, TX",1
"775","McMinnville, OR",1
"776","Melbourne, FL",1
"777","Melrose, FL",1
"778","Memphis, AR",1
"779","Memphis, TN",37
"780","Mercury, NV",1
"781","Meridian, MS",1
"782","Merrillville, IN",1
"783","Mesa, AZ",1
"784","Mesa, WA",1
"785","Mesquite, TX",3
"786","Metairie, LA",5
"787","Miami Beach, FL",2
"788","Miami Gardens, FL",6
"789","Miami Springs, FL",2
"790","Miami, FL",22
"791","Miamisburg, OH",1
"792","Micanopy, FL",1
"793","Middle Island, NY",1
"794","Middle River, MD",1
"795","Middletown, NY",1
"796","Midland, TX",1
"797","Midlothian, VA",1
"798","Midwest City, OK",2
"799","Milford, CT",1
"800","Milford, DE",1
"801","Milford, OH",1
"802","Millbrae, CA",1
"803","Millbrook, AL",2
"804","Millport, AL",1
"805","Milwaukee, WI",26
"806","Milwaukie, OR",1
"807","Minneapolis, MN",11
"808","Miramar, FL",3
"809","Missoula, MT",1
"810","Missouri City, TX",4
"811","Mobile, AL",9
"812","Modesto, CA",2
"813","Mojave, CA",2
"814","Molena, GA",1
"815","Monaca, PA",1
"816","Monahans, TX",2
"817","Monon, IN",1
"818","Monroe, GA",2
"819","Monroe, LA",4
"820","Monroe, NC",1
"821","Monroeville, AL",1
"822","Montgomery, AL",4
"823","Monticello, AR",1
"824","Moon, PA",1
"825","Moraine, OH",1
"826","Morenci, AZ",1
"827","Moreno Valley, CA",2
"828","Morgantown, WV",1
"829","Morrow, GA",2
"830","Moscow, TN",1
"831","Moss Point, MS",3
"832","Moundridge, KS",1
"833","Mount Airy, NC",1
"834","Mt. Juliet, TN",1
"835","Mt. Morris Township, MI",1
"836","Mt. Pleasant, WI",1
"837","Mt. Vernon, NY",1
"838","Munster, IN",1
"839","Murfreesboro, TN",1
"840","Muskogee, OK",2
"841","Myrtle Beach, SC",2
"842","Nashville, TN",16
"843","Natchez, MS",2
"844","Nederland, TX",1
"845","New Alexandria, PA",1
"846","New Bern, NC",1
"847","New Britain, CT",1
"848","New Brunswick, NJ",1
"849","New Carrollton, MD",1
"850","New Castle, DE",2
"851","New Castle, PA",1
"852","New Haven, CT",1
"853","New Iberia, LA",1
