"","X","GEOID","NAME","population","BlackPop","BlackPov","Bachelors","Pop25Plus","Masters","ProfDegree","Doctorate","CollegeStudents","PLACEFIPS","ProtestTotal","PostGFProtestCount","VictimsCount","BlackVictimCount","VictimCountPreGF","BlackVictimCountPreGF","VictimsPreGF2020","VictimHighThreat","AntiTrumpProtestPreGFCount","VictimsPreGF2020Blk","ProtestTotalPreGF","CollegeEdTotal","EduRate","BlackPopPct","BlackPovRate","PoliceDeathsRate","BlackVictimsRate","VictimRaceRatio"
"474",2574,1359724,"Peachtree City city, Georgia",35443,2592,2555,8807,24184,3787,783,468,1288,1359724,2,1,1,0,1,0,0,1,1,0,2,13845,0.572485941118095,0.0731315069266146,0.985725308641975,2.82143159439099e-05,0,0
"475",2580,1347896,"Lula city, Georgia",2985,357,357,175,1957,88,56,0,121,1347896,1,1,0,0,0,0,0,0,0,0,1,319,0.16300459887583,0.119597989949749,1,0,0,NA
"476",2581,1353060,"Moultrie city, Georgia",14069,6376,6129,852,8682,419,67,80,500,1353060,5,5,1,0,1,0,0,1,0,0,5,1418,0.163326422483299,0.453194967659393,0.961260978670013,7.10782571611344e-05,0,0
"477",2589,1849932,"Mishawaka city, Indiana",49245,3927,3787,5402,33374,2210,370,378,2664,1849932,15,7,0,0,0,0,0,0,7,0,15,8360,0.25049439683586,0.0797441364605544,0.964349376114082,0,0,NA
"478",2594,1810342,"Carmel city, Indiana",97464,2665,2578,26310,65032,12334,4382,2898,2923,1810342,13,3,1,0,0,0,0,0,7,0,13,45924,0.706175421331037,0.0273434293687926,0.967354596622889,0,0,NA
"479",2596,1837782,"Jasper city, Indiana",15827,90,57,2116,10981,626,122,74,448,1837782,4,1,0,0,0,0,0,0,3,0,4,2938,0.267553046170658,0.00568648512036393,0.633333333333333,0,0,NA
"480",2603,1831000,"Hammond city, Indiana",76547,17094,16773,5127,48816,1560,240,73,4277,1831000,11,3,0,0,0,0,0,0,7,0,11,7000,0.143395607997378,0.223313781075679,0.981221481221481,0,0,NA
"481",2616,1816138,"Crown Point city, Indiana",29850,1737,1180,4466,21326,2092,425,164,1351,1816138,6,3,1,1,0,0,0,0,2,0,6,7147,0.335130826221514,0.0581909547738693,0.679332181922855,0,0,NA
"482",2618,1884014,"Whitestown town, Indiana",8312,500,477,2227,5314,727,126,161,180,1884014,1,1,0,0,0,0,0,0,0,0,1,3241,0.609898381633421,0.0601539942252166,0.954,0,0,NA
"483",2625,1233250,"Immokalee CDP, Florida",26597,5689,5630,646,14931,137,0,0,794,1233250,2,2,0,0,0,0,0,0,0,0,2,783,0.0524412296564195,0.213896304094447,0.989629108806469,0,0,NA
"484",2630,1214250,"Coral Gables city, Florida",50226,1541,1097,10529,33068,6319,3715,1493,6707,1214250,7,3,1,0,1,0,0,0,1,0,7,22056,0.666989234305068,0.030681320431649,0.711875405580792,1.99100067694023e-05,0,0
