"","City","ProtestSize"
"516","Chester, SC",200
"517","Chester, VT",150
"518","Chesterfield, MI",12
"519","Chesterfield, MO",117.5
"520","Chesterfield, VA",250
"521","Chestertown, MD",NA
"522","Chevy Chase, MD",NA
"523","Cheyenne, WY",NA
"524","Chicago, IL",NA
"525","Chico, CA",NA
"526","Chicopee, MA",300
"527","Chillicothe, OH",NA
"528","Chilmark, MA",250
"529","Chincoteague, VA",NA
"530","Chino Hills, CA",325
"531","Chino, CA",NA
"532","Chisholm, MN",NA
"533","Chllicothe, OH",50
"534","Chowchilla, CA",NA
"535","Christianburg, VA",225
"536","Chula Vista, CA",NA
"537","Cincinnati, OH",NA
"538","Citrus Heights, CA",500
"539","Clairton, PA",NA
"540","Claremont, CA",NA
"541","Claremont, NH",100
"542","Claremore, OK",NA
"543","Clarendon, VA",200
"544","Clarion, PA",750
"545","Clarksburg, MD",NA
"546","Clarksburg, WV",NA
"547","Clarksdale, MS",NA
"548","Clarkston, MI",300
"549","Clarksville, IN",250
"550","Clarksville, TN",136.833333333333
"551","Claxton, GA",100
"552","Clayton, CA",NA
"553","Clayton, GA",NA
"554","Clayton, MO",143.5
"555","Clayton, OK",400
"556","Clearfield, PA",100
"557","Clearlake, CA",NA
"558","Clearwater, FL",NA
"559","Cleburne, TX",NA
"560","Clemson, SC",3000
"561","Clermont, FL",200
"562","Cleveland Heights, OH",100
"563","Cleveland, MS",200
"564","Cleveland, OH",NA
"565","Cleveland, TN",50
"566","Clifton Heights, PA",30
"567","Clifton Park, NY",500
"568","Clifton, NJ",700
"569","Clinton Township, MI",5000
"570","Clinton, CT",NA
"571","Clinton, IA",200
"572","Clinton, MA",NA
"573","Clinton, MD",14
"574","Clinton, NJ",22
"575","Clinton, NY",215
"576","Clinton, TN",150
"577","Cloudcroft, NM",47.5
"578","Cloverdale, CA",50
"579","Clovis, CA",18
"580","Clovis, NM",200
"581","Coatesville, PA",1700
"582","Cobb, GA",NA
"583","Cobleskill, NY",NA
"584","Cockeysville, MD",NA
"585","Cocoa, FL",2500
"586","Cody, WY",NA
"587","Coeur d'Alene, ID",NA
"588","Coffeyville, KS",200
"589","Cohasset, MA",50
"590","Cohoes, NY",200
"591","Colchester, CT",450
"592","Colchester, VT",87
"593","Coldwater, MI",200
"594","Colfax, CA",15
"595","College Park, MD",NA
"596","College Station, TX",NA
"597","Collegeville, PA",150
"598","Colliersville, TN",30
"599","Collierville, TN",NA
"600","Collingdale, PA",50
"601","Collingswood, NJ",2000
"602","Collinsville, IL",300
"603","Colonial Beach, VA",24
"604","Colonie, NY",35
"605","Colorado Springs, CA",100
"606","Colorado Springs, CO",NA
"607","Columbia, IL",50
"608","Columbia, MD",2000
"609","Columbia, MI",25
"610","Columbia, MO",NA
"611","Columbia, MS",NA
"612","Columbia, PA",NA
"613","Columbia, SC",NA
"614","Columbus, GA",112.25
"615","Columbus, IN",475
"616","Columbus, MS",NA
"617","Columbus, NE",36
"618","Columbus, OH",NA
"619","Coluso, CA",200
"620","Commack, NY",84.6666666666667
"621","Commerce, TX",200
"622","Compton, CA",NA
"623","Concord, CA",NA
"624","Concord, NC",32.6666666666667
"625","Concord, NH",836
"626","Connellsville, PA",75
"627","Connersville, IN",50
"628","Conroe, TX",100
"629","Conshohocken, PA",NA
"630","Conway, AR",NA
"631","Conway, NH",200
"632","Conway, SC",NA
"633","Conyers, GA",NA
"634","Cookeville, TN",NA
"635","Coolidge, AZ",100
"636","Cooperstown, NY",500
"637","Coos Bay, OR",NA
"638","Copley, CA",300
"639","Coppell, TX",NA
"640","Copperas Cove, TX",6.5
"641","Coral Gables, FL",NA
"642","Coral Springs, FL",24
"643","Coralville, IA",115
"644","Coraopolis, PA",NA
"645","Corbin, KY",103.333333333333
"646","Cordova, AK",93.5
"647","Cornelius, NC",300
"648","Corning, NY",700
"649","Cornwall, CT",400
"650","Corona, CA",500
"651","Coronado, CA",NA
"652","Corpus Christi, TX",100
"653","Corpus Cristi, TX",200
"654","Corry, PA",100
"655","Cortez, CO",NA
"656","Cortland, NY",200
"657","Corvallis, NY",200
"658","Corvallis, OR",1000
"659","Coshocton, OH",350
"660","Costa Mesa, CA",NA
"661","Cottage Grove, MN",24
"662","Cottage Grove, OR",NA
"663","Cottonwood Heights, UT",NA
"664","Coudersport, PA",24
"665","Council Bluffs, IA",NA
"666","Coventry, CT",275
"667","Covington, GA",NA
"668","Covington, KY",24
"669","Covington, LA",200
"670","Covington, TN",100
"671","Covington, VA",NA
"672","Covington, WA",NA
"673","Coxsackie, NY",200
"674","Craig, CO",5
"675","Cranberry Township, PA",200
"676","Cranford, NJ",NA
"677","Crawford, GA",4
"678","Crawfordsville, IN",NA
"679","Crawfordville, FL",200
"680","Creede, CO",NA
"681","Crescent City, CA",100
"682","Cresco, IA",NA
"683","Crested Butte, CO",NA
"684","Creve Coeur, MO",65
"685","Crofton, MD",350
"686","Cromwell, CT",NA
"687","Crossett, AR",NA
"688","Croton-on-Hudson, NY",NA
"689","Crowley, LA",NA
"690","Crown Point, IN",23.6666666666667
"691","Crystal Lake, IL",NA
"692","Cuba, NY",47
"693","Cuero, TX",NA
"694","Cullman, AL",30
"695","Culpeper, VA",750
"696","Culver City, CA",NA
"697","Cumberland, MD",NA
"698","Cumming, GA",NA
"699","Cupertino, CA",NA
"700","Cypress, CA",400
"701","Dacula, GA",500
"702","Dadeville, AL",12
"703","Dallas, OR",NA
"704","Dallas, TX",NA
"705","Dallastown, PA",NA
