"","PLACEFIPS","PostGFProtestCount"
"1013","1721267",2
"1014","1722073",1
"1015","1722255",1
"1016","1722697",5
"1017","1722736",3
"1018","1722931",1
"1019","1723074",9
"1020","1723256",2
"1021","1723620",3
"1022","1724582",30
"1023","1724608",5
"1024","1724634",1
"1025","1726454",1
"1026","1726571",1
"1027","1727806",1
"1028","1727884",4
"1029","1728326",3
"1030","1728872",2
"1031","1728963",1
"1032","1729080",1
"1033","1729125",1
"1034","1729756",2
"1035","1729938",5
"1036","1731121",1
"1037","1732746",1
"1038","1733136",1
"1039","1734358",2
"1040","1734670",4
"1041","1734722",2
"1042","1735307",2
"1043","1735879",1
"1044","1736750",1
"1045","1737907",1
"1046","1738115",2
"1047","1738414",1
"1048","1738570",18
"1049","1738934",1
"1050","1739727",2
"1051","1740767",3
"1052","1741105",4
"1053","1742184",2
"1054","1743250",2
"1055","1743536",2
"1056","1743666",1
"1057","1743939",1
"1058","1745031",1
"1059","1745694",1
"1060","1745889",3
"1061","1746136",1
"1062","1746916",4
"1063","1747150",1
"1064","1747423",1
"1065","1747540",1
"1066","1747553",1
"1067","1747774",2
"1068","1748645",1
"1069","1749607",1
"1070","1749867",31
"1071","1749945",1
"1072","1750010",1
"1073","1750244",1
"1074","1750491",3
"1075","1750621",3
"1076","1750647",1
"1077","1751089",1
"1078","1751180",1
"1079","1751349",1
"1080","1751453",1
"1081","1751622",8
"1082","1752116",1
"1083","1752584",1
"1084","1753000",1
"1085","1753234",6
"1086","1753442",1
"1087","1753481",4
"1088","1754820",3
"1089","1754885",5
"1090","1755249",1
"1091","1756484",1
"1092","1756640",3
"1093","1756887",2
"1094","1756926",3
"1095","1757225",6
"1096","1757381",1
"1097","1757875",6
"1098","1758447",3
"1099","1759000",49
"1100","1759884",1
"1101","1760287",3
"1102","1761015",1
"1103","1761899",1
"1104","1762367",4
"1105","1762783",1
"1106","1764421",1
"1107","1765000",127
"1108","1765078",4
"1109","1765819",1
"1110","1766703",4
"1111","1767548",1
"1112","1768003",7
"1113","1770122",1
"1114","1770590",3
"1115","1771448",1
"1116","1772000",13
"1117","1772546",1
